Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012
Action Construction Equipment Ltd.,Capital Goods,ACE.NS,EQ,INE731H01025
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025
Aether Industries Ltd.,Chemicals,AETHER.NS,EQ,INE0BWX01014
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ,INE901L01018
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039
Allcargo Logistics Ltd.,Services,ALLCARGO.NS,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS.NS,BE,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ,INE128X01021
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ,INE914M01019
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN.NS,EQ,INE203A01020
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038
BEML Ltd.,Capital Goods,BEML.NS,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ,INE233B01017
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ,INE791I01019
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022
CESC Ltd.,Power,CESC.NS,EQ,INE486A01021
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ,INE536H01010
CSB Bank Ltd.,Financial Services,CSBBANK.NS,EQ,INE679A01013
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT.NS,EQ,INE475E01026
